UTC;command
2025-05-29 17:07:24.808490+00:00;-2
2025-05-29 17:08:27.107795+00:00;-1
2025-05-29 17:09:29.215159+00:00;-1
2025-05-29 17:10:31.464407+00:00;-1
2025-05-29 17:11:33.647108+00:00;-1
2025-05-29 17:12:35.893994+00:00;-1
2025-05-29 17:13:38.118509+00:00;-1
2025-05-29 17:14:40.264414+00:00;-1
2025-05-29 17:15:47.597250+00:00;0
2025-05-29 17:15:47.597250+00:00;0
2025-05-29 17:16:54.936474+00:00;-2
2025-05-29 17:16:54.936474+00:00;-2
2025-05-29 17:17:57.225787+00:00;-1
2025-05-29 17:18:59.483618+00:00;-1
2025-05-29 17:20:01.669450+00:00;-1
2025-05-29 17:21:03.881471+00:00;-1
2025-05-29 17:22:06.057916+00:00;-1
2025-05-29 17:23:13.472714+00:00;0
2025-05-29 17:23:13.472714+00:00;0
2025-05-29 17:24:15.582050+00:00;0
2025-05-29 17:25:17.791091+00:00;0
2025-05-29 17:26:19.983487+00:00;0
2025-05-29 17:27:22.096184+00:00;0
2025-05-29 17:28:24.356210+00:00;0
2025-05-29 17:29:26.545475+00:00;0
2025-05-29 17:30:28.709794+00:00;0
2025-05-29 17:31:36.162806+00:00;-2
2025-05-29 17:31:36.162806+00:00;-2
2025-05-29 17:32:38.310731+00:00;-1
2025-05-29 17:33:40.583324+00:00;-1
2025-05-29 17:34:47.873075+00:00;0
2025-05-29 17:34:47.874072+00:00;0
2025-05-29 17:35:50.185317+00:00;0
2025-05-29 17:36:52.331727+00:00;0
2025-05-29 17:37:54.523371+00:00;0
2025-05-29 17:38:56.824784+00:00;0
2025-05-29 17:39:58.944519+00:00;0
2025-05-29 17:41:01.149037+00:00;0
2025-05-29 17:42:03.421007+00:00;0
2025-05-29 17:43:05.608597+00:00;0
2025-05-29 17:44:07.795112+00:00;0
2025-05-29 17:45:09.900766+00:00;0
2025-05-29 17:46:17.435982+00:00;2
2025-05-29 17:46:17.435982+00:00;2
2025-05-29 17:47:19.600361+00:00;1
2025-05-29 17:48:21.824693+00:00;1
